Year,State Name,Ozone Average,Carbon Average,Nitrogen Average,Sulfur Average,PM2.5 Average,PM10 Average,Ozone AQI,Carbon AQI,Nitrogen AQI,Sulfur AQI,PM2.5 AQI,PM10 AQI,Overall AQI,Population,Renewable Vehicles,Non-Renewable Vehicles
2017,Alabama,0,0.3,16,4,12.0,17.8,0,3,15,6,56,16,56,4877.989,509200,3882200
2017,Alaska,0,0.5,18,8,4.8,12.6,0,6,17,11,27,11,27,740.983,65300,550000
2017,Arizona,0,0.3,24,10,8.9,39.3,0,3,23,14,49,36,49,7048.088,593600,5127700
2017,Arkansas,0,0.4,13,1,0.0,0.0,0,5,12,1,0,0,12,3003.855,373600,2197500
2017,California,0,0.3,14,1,9.3,27.6,0,3,13,1,51,25,51,39337.785,2884400,28910100
2017,Colorado,0,0.3,14,2,7.1,12.5,0,3,13,3,39,11,39,5617.421,488500,4489100
2017,Connecticut,0,0.3,18,0,6.0,11.4,0,3,17,0,33,10,33,3575.324,231900,2772900
2017,Delaware,0,0.3,16,1,7.7,0.0,0,3,15,1,43,0,43,957.942,88100,771100
2017,Florida,0,0.3,12,1,8.9,17.2,0,3,11,1,49,16,49,20977.089,1567500,14637700
2017,Georgia,0,0.5,20,2,9.3,15.3,0,6,19,3,51,14,51,10417.031,905400,7653400
2017,Hawaii,0,0.3,6,23,6.2,13.1,0,3,6,32,34,12,34,1425.763,79200,979300
2017,Idaho,0,0.3,24,4,8.2,18.9,0,3,23,6,46,17,46,1719.745,142800,1518000
2017,Illinois,0,0.2,20,3,9.2,23.5,0,2,19,4,51,21,51,12779.893,1228100,8890000
2017,Indiana,0,0.4,15,2,8.4,20.1,0,5,14,3,47,18,47,6662.068,709800,5042300
2017,Iowa,0,0.2,8,1,7.3,40.2,0,2,8,1,41,37,41,3143.734,436300,2526300
2017,Kansas,0,0.2,8,1,7.4,20.0,0,2,8,1,41,18,41,2910.892,308400,2192500
