Year,State Name,Ozone Average,Carbon Average,Nitrogen Average,Sulfur Average,PM2.5 Average,PM10 Average,Ozone AQI,Carbon AQI,Nitrogen AQI,Sulfur AQI,PM2.5 AQI,PM10 AQI,Overall AQI,Population
2001,Illinois,0,0.8,28,11,0.0,31.2,0,9,26,15,0,28,28,12488.445
2001,Indiana,0,0.7,19,13,0.0,23.4,0,8,18,18,0,21,21,6127.76
2001,Iowa,0,0.6,12,4,0.0,26.3,0,7,11,6,0,24,24,2931.997
2001,Kansas,0,0.4,14,3,0.0,22.0,0,5,13,4,0,20,20,2702.162
2001,Kentucky,0,0.3,21,10,0.0,0.0,0,3,20,14,0,0,20,4068.132
2001,Louisiana,0,0.8,16,8,0.0,0.0,0,9,15,11,0,0,15,4477.875
2001,Maine,0,0.4,20,6,0.0,21.2,0,5,19,8,0,19,19,1285.692
2001,Maryland,0,0.4,25,13,0.0,0.0,0,5,24,18,0,0,24,5374.691
2001,Massachusetts,0,0.5,21,8,0.0,0.0,0,6,20,11,0,0,20,6397.634
2001,Michigan,0,0.3,27,10,0.0,34.9,0,3,25,14,0,32,32,9991.12
2001,Minnesota,0,0.5,21,3,0.0,0.0,0,6,20,4,0,0,20,4982.796
2001,Mississippi,0,0.4,11,4,0.0,20.1,0,5,10,6,0,18,18,2852.994
2001,Missouri,0,0.6,18,11,0.0,47.7,0,7,17,15,0,43,43,5641.142
2001,Montana,0,0.8,7,9,0.0,21.9,0,9,7,13,0,20,20,906.961
2001,Nebraska,0,0.6,0,1,0.0,0.0,0,7,0,1,0,0,7,1719.836
2001,Nevada,0,0.6,18,1,0.0,22.5,0,7,17,1,0,20,20,2098.399
2001,New Hampshire,0,0.4,20,8,0.0,0.0,0,5,19,11,0,0,19,1255.517
2001,New Jersey,0,0.8,31,9,0.0,0.0,0,9,29,13,0,0,29,8492.671
2001,New Mexico,0,0.6,15,5,0.0,23.0,0,7,14,7,0,21,21,1831.69
2001,New York,0,0.7,35,10,0.0,20.3,0,8,33,14,0,18,33,19082.838
2001,North Carolina,0,0.7,25,7,0.0,21.4,0,8,24,10,0,19,24,8210.122
2001,North Dakota,0,0.0,6,4,0.0,0.0,0,0,6,6,0,0,6,639.062
2001,Ohio,0,0.6,29,13,0.0,24.8,0,7,27,18,0,23,27,11387.404
2001,Oklahoma,0,0.5,16,7,0.0,23.5,0,6,15,10,0,21,21,3467.1
2001,Oregon,0,1.1,17,0,0.0,0.0,0,12,16,0,0,0,16,3467.937
2001,Pennsylvania,0,0.4,24,15,0.0,24.1,0,5,23,21,0,22,23,12298.97
2001,Rhode Island,0,0.7,15,10,0.0,0.0,0,8,14,14,0,0,14,1057.142
2001,South Carolina,0,0.5,13,5,0.0,30.0,0,6,12,7,0,27,27,4064.995
2001,South Dakota,0,0.0,5,0,0.0,28.7,0,0,5,0,0,26,26,757.972
2001,Tennessee,0,0.7,19,11,0.0,28.7,0,8,18,15,0,26,26,5750.789
2001,Texas,0,0.6,18,6,0.0,47.4,0,7,17,8,0,43,43,21319.622
2001,Utah,0,0.9,34,5,0.0,0.0,0,10,32,7,0,0,32,2283.715
2001,Vermont,0,0.5,18,8,0.0,0.0,0,6,17,11,0,0,17,612.223
2001,Virginia,0,0.6,23,10,0.0,0.0,0,7,22,14,0,0,22,7198.362
2001,Washington,0,1.1,28,5,0.0,0.0,0,12,26,7,0,0,26,5985.722
2001,West Virginia,0,0.6,0,22,0.0,28.6,0,7,0,31,0,26,31,1801.481
2001,Wisconsin,0,0.4,25,8,0.0,0.0,0,5,24,11,0,0,24,5406.835
2001,Wyoming,0,0.3,4,0,0.0,0.0,0,3,4,0,0,0,4,494.657
2001,Puerto Rico,0,1.6,12,7,0.0,26.9,0,18,11,10,0,24,24,
2001,Virgin Islands,0,0.0,0,4,0.0,0.0,0,0,0,6,0,0,6,
2001,Country Of Mexico,0,1.1,30,6,0.0,0.0,0,12,28,8,0,0,28,
2001,Canada,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,
2002,Alabama,0,0.7,11,6,0.0,29.3,0,8,10,8,0,27,27,4480.089
2002,Alaska,0,1.2,0,0,0.0,0.0,0,14,0,0,0,0,14,642.337
2002,Arizona,0,0.9,28,10,0.0,30.4,0,10,26,14,0,28,28,5396.255
2002,Arkansas,0,0.6,25,4,0.0,0.0,0,7,24,6,0,0,24,2705.927
2002,California,0,0.6,23,3,0.0,23.0,0,7,22,4,0,21,22,34871.843
2002,Colorado,0,0.7,23,10,0.0,25.6,0,8,22,14,0,23,23,4490.406
2002,Connecticut,0,0.8,28,7,0.0,33.2,0,9,26,10,0,30,30,3458.749
2002,Delaware,0,0.5,27,10,0.0,0.0,0,6,25,14,0,0,25,806.169
2002,District Of Columbia,0,1.1,32,12,0.0,0.0,0,12,30,17,0,0,30,
2002,Florida,0,0.6,15,8,0.0,19.2,0,7,14,11,0,17,17,16689.37
2002,Georgia,0,0.5,19,7,0.0,21.8,0,6,18,10,0,20,20,8508.256
2002,Hawaii,0,0.6,8,16,0.0,0.0,0,7,8,22,0,0,22,1239.613
2002,Idaho,0,0.6,16,13,0.0,22.9,0,7,15,18,0,21,21,1340.372
2002,Illinois,0,0.8,27,10,0.0,32.4,0,9,25,14,0,30,30,12525.556
2002,Indiana,0,0.7,21,12,0.0,26.2,0,8,20,17,0,24,24,6155.967
2002,Iowa,0,0.5,11,5,0.0,25.3,0,6,10,7,0,23,23,2934.234
2002,Kansas,0,0.4,14,4,0.0,20.6,0,5,13,6,0,19,19,2713.535
2002,Kentucky,0,0.4,19,9,0.0,22.7,0,5,18,13,0,21,21,4089.875
2002,Louisiana,0,0.6,15,8,0.0,0.0,0,7,14,11,0,0,14,4497.267
2002,Maine,0,0.4,21,5,0.0,16.7,0,5,20,7,0,15,20,1295.96
2002,Maryland,0,0.5,25,12,0.0,0.0,0,6,24,17,0,0,24,5440.389
2002,Massachusetts,0,0.5,20,7,0.0,0.0,0,6,19,10,0,0,19,6417.206
2002,Michigan,0,0.4,27,8,0.0,37.8,0,5,25,11,0,34,34,10015.71
2002,Minnesota,0,0.4,16,2,0.0,19.6,0,5,15,3,0,18,18,5018.935
2002,Mississippi,0,0.4,10,4,0.0,0.0,0,5,9,6,0,0,9,2858.681
2002,Missouri,0,0.5,19,10,0.0,45.8,0,6,18,14,0,42,42,5674.825
2002,Montana,0,0.7,6,8,0.0,20.4,0,8,6,11,0,19,19,911.667
2002,Nebraska,0,0.6,0,1,0.0,0.0,0,7,0,1,0,0,7,1728.292
2002,Nevada,0,0.6,20,1,0.0,22.2,0,7,19,1,0,20,20,2173.791
2002,New Hampshire,0,0.4,16,7,0.0,0.0,0,5,15,10,0,0,15,1269.089
2002,New Jersey,0,0.7,30,8,0.0,0.0,0,8,28,11,0,0,28,8552.643
2002,New Mexico,0,0.5,14,3,0.0,30.7,0,6,13,4,0,28,28,1855.309
2002,New York,0,0.6,33,9,0.0,20.9,0,7,31,13,0,19,31,19137.8
2002,North Carolina,0,0.6,22,9,0.0,20.4,0,7,21,13,0,19,21,8326.201
2002,North Dakota,0,0.0,5,4,0.0,0.0,0,0,5,6,0,0,6,638.168
2002,Ohio,0,0.5,28,13,0.0,23.4,0,6,26,18,0,21,26,11407.889
2002,Oklahoma,0,0.4,15,6,0.0,24.6,0,5,14,8,0,22,22,3489.08
2002,Oregon,0,1.1,17,0,0.0,0.0,0,12,16,0,0,0,16,3513.424
2002,Pennsylvania,0,0.3,22,14,0.0,20.9,0,3,21,19,0,19,21,12331.031
2002,Rhode Island,0,0.7,14,8,0.0,0.0,0,8,13,11,0,0,13,1065.995
2002,South Carolina,0,0.5,11,4,0.0,27.2,0,6,10,6,0,25,25,4107.795
2002,South Dakota,0,0.0,3,1,0.0,32.7,0,0,3,1,0,30,30,760.02
2002,Tennessee,0,0.7,17,10,0.0,24.8,0,8,16,14,0,23,23,5795.918
2002,Texas,0,0.5,17,4,0.0,41.6,0,6,16,6,0,38,38,21690.325
2002,Utah,0,0.9,33,5,0.0,0.0,0,10,31,7,0,0,31,2324.815
2002,Vermont,0,0.7,17,8,0.0,0.0,0,8,16,11,0,0,16,615.442
2002,Virginia,0,0.5,22,8,0.0,0.0,0,6,21,11,0,0,21,7286.873
2002,Washington,0,1.0,26,4,0.0,0.0,0,11,25,6,0,0,25,6052.349
2002,West Virginia,0,1.0,0,20,0.0,26.6,0,11,0,28,0,24,28,1805.414
2002,Wisconsin,0,0.4,22,6,0.0,0.0,0,5,21,8,0,0,21,5445.162
2002,Wyoming,0,0.3,4,10,0.0,0.0,0,3,4,14,0,0,14,500.017
2002,Puerto Rico,0,1.4,10,10,0.0,31.3,0,16,9,14,0,29,29,
2002,Virgin Islands,0,0.0,0,5,0.0,0.0,0,0,0,7,0,0,7,
2002,Country Of Mexico,0,1.2,30,6,0.0,0.0,0,14,28,8,0,0,28,
2002,Canada,0,0.0,11,5,0.0,0.0,0,0,10,7,0,0,10,
2003,Alabama,0,0.4,10,7,0.0,36.8,0,5,9,10,0,34,34,4503.491
2003,Alaska,0,1.1,0,0,0.0,0.0,0,12,0,0,0,0,12,648.414
2003,Arizona,0,0.8,27,10,0.0,27.8,0,9,25,14,0,25,25,5510.364
2003,Arkansas,0,0.5,22,4,0.0,0.0,0,6,21,6,0,0,21,2724.816
2003,California,0,0.6,22,3,0.0,19.1,0,7,21,4,0,17,21,35253.159
2003,Colorado,0,0.7,25,7,0.0,23.3,0,8,24,10,0,21,24,4528.732
2003,Connecticut,0,0.8,26,7,0.0,40.8,0,9,25,10,0,37,37,3484.336
