Latitude,Longitude,Datum,Sample Duration,Pollutant Standard,Parameter Name,Metric Used,Method Name,Year,Units of Measure,Observation Count,Observation Percent,Arithmetic Mean,Arithmetic Standard Dev,Local Site Name,Address,State Name,County Name,City Name
40.83606,-73.92009,WGS84,1 HOUR,,PM2.5 Raw Data,Observed Values,PM2.5 SCC w/No Correction Factor - TEOM Gravimetric 50 deg C,2014,Micrograms/cubic meter (LC),7900,90,10.562797,5.40703,MORRISANIA,"MORRISANIA CENTER, 1225-57 GERARD AVE.",New York,Bronx,New York
40.83606,-73.92009,WGS84,24-HR BLK AVG,,PM2.5 Raw Data,Observed Values,,2014,Micrograms/cubic meter (LC),320,88,10.48375,4.024998,MORRISANIA,"MORRISANIA CENTER, 1225-57 GERARD AVE.",New York,Bronx,New York
40.83606,-73.92009,WGS84,1 HOUR,,Acceptable PM2.5 AQI & Speciation Mass,Observed Values,PM2.5 SCC w/Correction Factor - TEOM Gravimetric 50 deg C,2014,Micrograms/cubic meter (LC),8140,93,9.270393,6.750406,MORRISANIA,"MORRISANIA CENTER, 1225-57 GERARD AVE.",New York,Bronx,New York
40.83606,-73.92009,WGS84,24-HR BLK AVG,,Acceptable PM2.5 AQI & Speciation Mass,Observed Values,,2014,Micrograms/cubic meter (LC),333,91,9.192793,5.465737,MORRISANIA,"MORRISANIA CENTER, 1225-57 GERARD AVE.",New York,Bronx,New York
40.816,-73.902,WGS84,24 HOUR,,Naphthalene (TSP) STP,Observed Values,Hi Vol/PUF-XAD-2 - GCMS TO-13,2014,Nanograms/cubic meter (25 C),57,93,101.087719,40.77282,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York
40.816,-73.902,WGS84,24 HOUR,,Acenaphthene (TSP) STP,Observed Values,Hi Vol/PUF-XAD-2 - GCMS TO-13,2014,Nanograms/cubic meter (25 C),57,93,6.288035,5.14785,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York
40.816,-73.902,WGS84,24 HOUR,,Acenaphthylene (TSP) STP,Observed Values,Hi Vol/PUF-XAD-2 - GCMS TO-13,2014,Nanograms/cubic meter (25 C),57,93,1.471382,2.390831,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York
40.816,-73.902,WGS84,24 HOUR,,Fluorene (TSP) STP,Observed Values,Hi Vol/PUF-XAD-2 - GCMS TO-13,2014,Nanograms/cubic meter (25 C),57,93,6.331754,4.597078,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York
40.816,-73.902,WGS84,24 HOUR,,Phenanthrene (TSP) STP,Observed Values,Hi Vol/PUF-XAD-2 - GCMS TO-13,2014,Nanograms/cubic meter (25 C),57,93,14.095965,9.676364,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York
40.816,-73.902,WGS84,24 HOUR,,Anthracene (TSP) STP,Observed Values,Hi Vol/PUF-XAD-2 - GCMS TO-13,2014,Nanograms/cubic meter (25 C),57,93,0.662895,0.475955,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York
40.816,-73.902,WGS84,24 HOUR,,Retene (TSP) STP,Observed Values,Hi Vol/PUF-XAD-2 - GCMS TO-13,2014,Nanograms/cubic meter (25 C),57,93,0.082498,0.045103,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York
