,Latitude,Longitude,Datum,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Observation Count,Observation Percent,Arithmetic Mean,Arithmetic Standard Dev,Local Site Name,Address,State Name,County Name,City Name
56759,40.83606,-73.92009,WGS84,24 HOUR,,Observed Values,R & P Model 2025 PM2.5 Sequent - Calculation,2002,Percent,120,98,0.103333,0.178666,MORRISANIA,"MORRISANIA CENTER, 1225-57 GERARD AVE.",New York,Bronx,New York
56760,40.83606,-73.92009,WGS84,24 HOUR,,Observed Values,R & P Model 2025 PM2.5 Sequent - Calculation,2002,Cubic meter,120,98,24.076667,0.044407,MORRISANIA,"MORRISANIA CENTER, 1225-57 GERARD AVE.",New York,Bronx,New York
56761,40.83606,-73.92009,WGS84,24 HOUR,,Observed Values,R & P Model 2025 PM2.5 Sequent - Electronic,2002,Degrees Centigrade,120,98,9.848333,8.919029,MORRISANIA,"MORRISANIA CENTER, 1225-57 GERARD AVE.",New York,Bronx,New York
56762,40.83606,-73.92009,WGS84,24 HOUR,,Observed Values,R & P Model 2025 PM2.5 Sequent - Electronic,2002,Degrees Centigrade,120,98,19.183333,9.951321,MORRISANIA,"MORRISANIA CENTER, 1225-57 GERARD AVE.",New York,Bronx,New York
56763,40.83606,-73.92009,WGS84,24 HOUR,,Observed Values,R & P Model 2025 PM2.5 Sequent - Electronic,2002,Degrees Centigrade,120,98,14.333333,9.214241,MORRISANIA,"MORRISANIA CENTER, 1225-57 GERARD AVE.",New York,Bronx,New York
56764,40.83606,-73.92009,WGS84,24 HOUR,,Observed Values,R & P Model 2025 PM2.5 Sequent - Barometric Sensor,2002,Millimeters (mercury),120,98,756.383333,5.872859,MORRISANIA,"MORRISANIA CENTER, 1225-57 GERARD AVE.",New York,Bronx,New York
56765,40.83606,-73.92009,WGS84,24 HOUR,,Observed Values,R & P Model 2025 PM2.5 Sequent - Barometric Sensor,2002,Millimeters (mercury),120,98,764.025,4.602634,MORRISANIA,"MORRISANIA CENTER, 1225-57 GERARD AVE.",New York,Bronx,New York
56766,40.83606,-73.92009,WGS84,24 HOUR,,Observed Values,R & P Model 2025 PM2.5 Sequent - Barometric Sensor,2002,Millimeters (mercury),120,98,760.291667,5.152132,MORRISANIA,"MORRISANIA CENTER, 1225-57 GERARD AVE.",New York,Bronx,New York
56767,40.83606,-73.92009,WGS84,24 HOUR,,Observed Values,R & P Model 2025 PM2.5 Sequent - Calculation,2002,Minutes,120,98,1439.741667,1.14125,MORRISANIA,"MORRISANIA CENTER, 1225-57 GERARD AVE.",New York,Bronx,New York
56768,40.83606,-73.92009,WGS84,24 HOUR,PM25 24-hour 1997,Daily Mean,R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,2002,Micrograms/cubic meter (LC),119,98,15.344538,7.976286,MORRISANIA,"MORRISANIA CENTER, 1225-57 GERARD AVE.",New York,Bronx,New York
56769,40.83606,-73.92009,WGS84,24 HOUR,PM25 24-hour 1997,Daily Mean,R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,2002,Micrograms/cubic meter (LC),120,98,15.868333,9.798465,MORRISANIA,"MORRISANIA CENTER, 1225-57 GERARD AVE.",New York,Bronx,New York
56770,40.83606,-73.92009,WGS84,24 HOUR,PM25 24-hour 1997,Daily Mean,R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,2002,Micrograms/cubic meter (LC),120,98,15.868333,9.798465,MORRISANIA,"MORRISANIA CENTER, 1225-57 GERARD AVE.",New York,Bronx,New York
56771,40.83606,-73.92009,WGS84,24 HOUR,PM25 24-hour 2006,Daily Mean,R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,2002,Micrograms/cubic meter (LC),120,98,15.868333,9.798465,MORRISANIA,"MORRISANIA CENTER, 1225-57 GERARD AVE.",New York,Bronx,New York
