Latitude,Longitude,Datum,Sample Duration,Pollutant Standard,Parameter Name,Metric Used,Method Name,Year,Units of Measure,Observation Count,Observation Percent,Arithmetic Mean,Arithmetic Standard Dev,Local Site Name,Address,State Name,County Name,City Name
40.83606,-73.92009,WGS84,1 HOUR,,PM2.5 Raw Data,Observed Values,PM2.5 SCC w/No Correction Factor - TEOM Gravimetric 50 deg C,2015,Micrograms/cubic meter (LC),8678,99,9.757075,5.699351,MORRISANIA,"MORRISANIA CENTER, 1225-57 GERARD AVE.",New York,Bronx,New York
40.83606,-73.92009,WGS84,24-HR BLK AVG,,PM2.5 Raw Data,Observed Values,,2015,Micrograms/cubic meter (LC),363,99,9.717631,4.431052,MORRISANIA,"MORRISANIA CENTER, 1225-57 GERARD AVE.",New York,Bronx,New York
40.83606,-73.92009,WGS84,1 HOUR,,Acceptable PM2.5 AQI & Speciation Mass,Observed Values,PM2.5 SCC w/Correction Factor - TEOM Gravimetric 50 deg C,2015,Micrograms/cubic meter (LC),8677,99,8.436971,6.772356,MORRISANIA,"MORRISANIA CENTER, 1225-57 GERARD AVE.",New York,Bronx,New York
40.83606,-73.92009,WGS84,24-HR BLK AVG,,Acceptable PM2.5 AQI & Speciation Mass,Observed Values,,2015,Micrograms/cubic meter (LC),363,99,8.400826,5.458216,MORRISANIA,"MORRISANIA CENTER, 1225-57 GERARD AVE.",New York,Bronx,New York
40.816,-73.902,WGS84,24 HOUR,,Naphthalene (TSP) STP,Observed Values,Hi Vol/PUF-XAD-2 - GCMS TO-13,2015,Nanograms/cubic meter (25 C),59,98,113.045763,48.0017,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York
40.816,-73.902,WGS84,24 HOUR,,Acenaphthene (TSP) STP,Observed Values,Hi Vol/PUF-XAD-2 - GCMS TO-13,2015,Nanograms/cubic meter (25 C),59,98,5.653915,4.348965,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York
40.816,-73.902,WGS84,24 HOUR,,Acenaphthylene (TSP) STP,Observed Values,Hi Vol/PUF-XAD-2 - GCMS TO-13,2015,Nanograms/cubic meter (25 C),59,98,1.837288,3.60848,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York
40.816,-73.902,WGS84,24 HOUR,,Fluorene (TSP) STP,Observed Values,Hi Vol/PUF-XAD-2 - GCMS TO-13,2015,Nanograms/cubic meter (25 C),59,98,6.606441,5.046327,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York
40.816,-73.902,WGS84,24 HOUR,,Phenanthrene (TSP) STP,Observed Values,Hi Vol/PUF-XAD-2 - GCMS TO-13,2015,Nanograms/cubic meter (25 C),59,98,16.232373,9.756181,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York
40.816,-73.902,WGS84,24 HOUR,,Anthracene (TSP) STP,Observed Values,Hi Vol/PUF-XAD-2 - GCMS TO-13,2015,Nanograms/cubic meter (25 C),59,98,0.980475,3.11449,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York
40.816,-73.902,WGS84,24 HOUR,,Retene (TSP) STP,Observed Values,Hi Vol/PUF-XAD-2 - GCMS TO-13,2015,Nanograms/cubic meter (25 C),59,98,0.12432,0.068518,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York
40.816,-73.902,WGS84,24 HOUR,,9-fluorenone (TSP) STP,Observed Values,Hi Vol/PUF-XAD-2 - GCMS TO-13,2015,Nanograms/cubic meter (25 C),59,98,2.58839,1.520113,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York
40.816,-73.902,WGS84,24 HOUR,,Cyclopenta[cd]pyrene (TSP) STP,Observed Values,Hi Vol/PUF-XAD-2 - GCMS TO-13,2015,Nanograms/cubic meter (25 C),59,98,0.229186,0.484002,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York
40.816,-73.902,WGS84,24 HOUR,,Fluoranthene (TSP) STP,Observed Values,Hi Vol/PUF-XAD-2 - GCMS TO-13,2015,Nanograms/cubic meter (25 C),59,98,4.215763,2.588983,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York
40.816,-73.902,WGS84,24 HOUR,,Pyrene (TSP) STP,Observed Values,Hi Vol/PUF-XAD-2 - GCMS TO-13,2015,Nanograms/cubic meter (25 C),59,98,3.246475,1.931165,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York
40.816,-73.902,WGS84,24 HOUR,,Chrysene (TSP) STP,Observed Values,Hi Vol/PUF-XAD-2 - GCMS TO-13,2015,Nanograms/cubic meter (25 C),59,98,0.361763,0.17092,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York
40.816,-73.902,WGS84,24 HOUR,,Coronene (TSP) STP,Observed Values,Hi Vol/PUF-XAD-2 - GCMS TO-13,2015,Nanograms/cubic meter (25 C),59,98,0.303729,0.373691,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York
40.816,-73.902,WGS84,24 HOUR,,Perylene (TSP) STP,Observed Values,Hi Vol/PUF-XAD-2 - GCMS TO-13,2015,Nanograms/cubic meter (25 C),59,98,0.031619,0.041289,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York
