Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Observation Count,Observation Percent,Arithmetic Mean,Arithmetic Standard Dev,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change
40.816,-73.902,WGS84,Benzo[a]anthracene (TSP) STP,24 HOUR,,Observed Values,Hi Vol/PUF-XAD-2 - GCMS TO-13,2016,Nanograms/cubic meter (25 C),61,100,0.129459,0.120482,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York,"New York-Newark-Jersey City, NY-NJ-PA",5/21/20
40.816,-73.902,WGS84,Benzo[b]fluoranthene (TSP) STP,24 HOUR,,Observed Values,Hi Vol/PUF-XAD-2 - GCMS TO-13,2016,Nanograms/cubic meter (25 C),61,100,0.257197,0.194883,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York,"New York-Newark-Jersey City, NY-NJ-PA",5/21/20
40.816,-73.902,WGS84,Benzo[k]fluoranthene (TSP) STP,24 HOUR,,Observed Values,Hi Vol/PUF-XAD-2 - GCMS TO-13,2016,Nanograms/cubic meter (25 C),61,100,0.041082,0.052159,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York,"New York-Newark-Jersey City, NY-NJ-PA",5/21/20
40.816,-73.902,WGS84,Benzo[e]pyrene (TSP) STP,24 HOUR,,Observed Values,Hi Vol/PUF-XAD-2 - GCMS TO-13,2016,Nanograms/cubic meter (25 C),61,100,0.223541,0.200962,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York,"New York-Newark-Jersey City, NY-NJ-PA",5/21/20
40.816,-73.902,WGS84,"Dibenzo[a,h]anthracene (TSP) STP",24 HOUR,,Observed Values,Hi Vol/PUF-XAD-2 - GCMS TO-13,2016,Nanograms/cubic meter (25 C),61,100,0.020443,0.018722,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York,"New York-Newark-Jersey City, NY-NJ-PA",5/21/20
40.816,-73.902,WGS84,"Benzo[g,h,i]perylene (TSP) STP",24 HOUR,,Observed Values,Hi Vol/PUF-XAD-2 - GCMS TO-13,2016,Nanograms/cubic meter (25 C),61,100,0.450738,0.562244,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York,"New York-Newark-Jersey City, NY-NJ-PA",5/21/20
40.816,-73.902,WGS84,Benzo[a]pyrene (TSP) STP,24 HOUR,,Observed Values,Hi Vol/PUF-XAD-2 - GCMS TO-13,2016,Nanograms/cubic meter (25 C),61,100,0.165754,0.195281,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York,"New York-Newark-Jersey City, NY-NJ-PA",5/21/20
40.816,-73.902,WGS84,"Indeno[1,2,3-cd]pyrene (TSP) STP",24 HOUR,,Observed Values,Hi Vol/PUF-XAD-2 - GCMS TO-13,2016,Nanograms/cubic meter (25 C),61,100,0.213025,0.210457,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York,"New York-Newark-Jersey City, NY-NJ-PA",5/21/20
40.816,-73.902,WGS84,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,Multiple Methods Used,2016,Parts per billion,8621,98,1.508197,1.417499,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York,"New York-Newark-Jersey City, NY-NJ-PA",11/8/21
40.816,-73.902,WGS84,Sulfur dioxide,1 HOUR,SO2 Annual 1971,Observed Values,Multiple Methods Used,2016,Parts per billion,8621,98,0.671999,0.897105,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York,"New York-Newark-Jersey City, NY-NJ-PA",11/8/21
