Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Observation Count,Observation Percent,Arithmetic Mean,Arithmetic Standard Dev,Local Site Name,Address,State Name,County Name,City Name,,
40.816,-73.902,WGS84,"Indeno[1,2,3-cd]pyrene (TSP) STP",24 HOUR,,Observed Values,Hi Vol/PUF-XAD-2 - GCMS TO-13,2020,Nanograms/cubic meter (25 C),35,57,0.153657,0.124175,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York,,
40.816,-73.902,WGS84,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - Pulsed Fluorescent 43C-TLE/43i-TLE,2020,Parts per billion,8662,99,0.979178,0.916158,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York,,
40.816,-73.902,WGS84,Sulfur dioxide,1 HOUR,SO2 Annual 1971,Observed Values,INSTRUMENTAL - Pulsed Fluorescent 43C-TLE/43i-TLE,2020,Parts per billion,8662,99,0.419718,0.47417,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York,,
40.816,-73.902,WGS84,Sulfur dioxide,24-HR BLK AVG,SO2 24-hour 1971,Daily Average of observed values,,2020,Parts per billion,365,100,0.425479,0.355,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York,,
40.816,-73.902,WGS84,Sulfur dioxide,3-HR BLK AVG,SO2 3-hour 1971,3-Hour block average of observed hourly values,,2020,Parts per billion,2870,98,0.391672,0.449139,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York,,
40.816,-73.902,WGS84,Sulfur dioxide,5 MINUTE,,Observed Values,INSTRUMENTAL - Pulsed Fluorescent 43C-TLE/43i-TLE,2020,Parts per billion,104009,99,0.420776,0.502321,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York,,
40.816,-73.902,WGS84,Nitric oxide (NO),1 HOUR,,Observed Values,Multiple Methods Used,2020,Parts per billion,8645,98,5.402568,12.621685,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York,,
40.816,-73.902,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour 2010,Daily Maximum 1-hour average,"Instrumental - Chemiluminescence Thermo Electron 42C-TL, 42i-TL",2020,Parts per billion,8622,98,27.326722,11.467797,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York,,
40.816,-73.902,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 Annual 1971,Observed values,"Instrumental - Chemiluminescence Thermo Electron 42C-TL, 42i-TL",2020,Parts per billion,8622,98,15.224983,9.903289,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York,,
40.816,-73.902,WGS84,Oxides of nitrogen (NOx),1 HOUR,,Observed Values,"Instrumental - Chemiluminescence Thermo Electron 42C-Y, 42i-Y",2020,Parts per billion,8641,98,20.654207,20.276205,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York,,
40.816,-73.902,WGS84,Freon 113,24 HOUR,,Observed Values,SS 6L- PRESSURIZED CANISTER - CRYOGENIC PRECON: GC/MS,2020,Parts per billion Carbon,36,59,0.113889,0.035074,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York,,
40.816,-73.902,WGS84,Freon 113,24 HOUR,,Observed Values,SS 6L- PRESSURIZED CANISTER - CRYOGENIC PRECON: GC/MS,2020,Parts per billion Carbon,36,59,0.108333,0.028031,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York,,
40.816,-73.902,WGS84,Freon 113,24 HOUR,,Observed Values,SS 6L- PRESSURIZED CANISTER - CRYOGENIC PRECON: GC/MS,2020,Parts per billion Carbon,35,57,0.105714,0.02355,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York,,
40.816,-73.902,WGS84,Freon 114,24 HOUR,,Observed Values,SS 6L- PRESSURIZED CANISTER - CRYOGENIC PRECON: GC/MS,2020,Parts per billion Carbon,36,59,0,0,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York,,
40.816,-73.902,WGS84,Freon 114,24 HOUR,,Observed Values,SS 6L- PRESSURIZED CANISTER - CRYOGENIC PRECON: GC/MS,2020,Parts per billion Carbon,36,59,0,0,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York,,
40.816,-73.902,WGS84,Freon 114,24 HOUR,,Observed Values,SS 6L- PRESSURIZED CANISTER - CRYOGENIC PRECON: GC/MS,2020,Parts per billion Carbon,35,57,0,0,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York,,
40.816,-73.902,WGS84,"1,3-Butadiene",24 HOUR,,Observed Values,SS 6L - PRESSURIZED CANISTER  - CRYOGENIC PRECON:GC/MS,2020,Parts per billion Carbon,36,59,0.141667,0.076997,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York,,
40.816,-73.902,WGS84,"1,3-Butadiene",24 HOUR,,Observed Values,SS 6L - PRESSURIZED CANISTER  - CRYOGENIC PRECON:GC/MS,2020,Parts per billion Carbon,36,59,0.144444,0.096937,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York,,
40.816,-73.902,WGS84,"1,3-Butadiene",24 HOUR,,Observed Values,SS 6L - PRESSURIZED CANISTER  - CRYOGENIC PRECON:GC/MS,2020,Parts per billion Carbon,35,57,0.142857,0.09167,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York,,
40.816,-73.902,WGS84,Methyl tert-butyl ether,24 HOUR,,Observed Values,SS 6L - PRESSURIZED CANISTER - CRYOGENIC PRECON:GC/MS,2020,Parts per billion Carbon,36,59,0,0,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York,,
40.816,-73.902,WGS84,Methyl tert-butyl ether,24 HOUR,,Observed Values,SS 6L - PRESSURIZED CANISTER - CRYOGENIC PRECON:GC/MS,2020,Parts per billion Carbon,36,59,0,0,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York,,
40.816,-73.902,WGS84,Methyl tert-butyl ether,24 HOUR,,Observed Values,SS 6L - PRESSURIZED CANISTER - CRYOGENIC PRECON:GC/MS,2020,Parts per billion Carbon,35,57,0,0,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York,,
40.816,-73.902,WGS84,Formaldehyde,24 HOUR,,Observed Values,SILICA-DNPH-CART-KI O3 SCRUB - HPLC ULTRAVIOLET ABSORPTION,2020,Parts per billion Carbon,37,61,1.105405,0.760463,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York,,
40.816,-73.902,WGS84,Formaldehyde,24 HOUR,,Observed Values,SILICA-DNPH-CART-KI O3 SCRUB - HPLC ULTRAVIOLET ABSORPTION,2020,Parts per billion Carbon,37,61,1.097297,0.726287,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York,,
40.816,-73.902,WGS84,Formaldehyde,24 HOUR,,Observed Values,SILICA-DNPH-CART-KI O3 SCRUB - HPLC ULTRAVIOLET ABSORPTION,2020,Parts per billion Carbon,37,61,1.102703,0.762119,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York,,
40.816,-73.902,WGS84,Acetaldehyde,24 HOUR,,Observed Values,SILICA-DNPH-CART-KI O3 SCRUB - HPLC ULTRAVIOLET ABSORPTION,2020,Parts per billion Carbon,37,61,1.359459,0.820386,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York,,
40.816,-73.902,WGS84,Acetaldehyde,24 HOUR,,Observed Values,SILICA-DNPH-CART-KI O3 SCRUB - HPLC ULTRAVIOLET ABSORPTION,2020,Parts per billion Carbon,37,61,1.340541,0.811535,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York,,
40.816,-73.902,WGS84,Acetaldehyde,24 HOUR,,Observed Values,SILICA-DNPH-CART-KI O3 SCRUB - HPLC ULTRAVIOLET ABSORPTION,2020,Parts per billion Carbon,37,61,1.354054,0.821109,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York,,
40.816,-73.902,WGS84,Propionaldehyde,24 HOUR,,Observed Values,SILICA-DNPH-CART-KI O3 SCRUB - HPLC ULTRAVIOLET ABSORPTION,2020,Parts per billion Carbon,37,61,0.191892,0.116377,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York,,
40.816,-73.902,WGS84,Propionaldehyde,24 HOUR,,Observed Values,SILICA-DNPH-CART-KI O3 SCRUB - HPLC ULTRAVIOLET ABSORPTION,2020,Parts per billion Carbon,37,61,0.191892,0.116377,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York,,
